,x,y
206,8.7987,0.41593444
207,8.80015,0.29955694
208,8.8016,0.14847626
209,8.80305,0.04140837
210,8.8045,0.0045666100000000005
211,8.80595,0.01281839
212,8.8074,0.07731788
213,8.80885,0.21663769
214,8.8103,0.38583434
215,8.81175,0.52054429
216,8.8132,0.59544849
217,8.81465,0.62937135
218,8.8161,0.65058804
219,8.81755,0.67626601
220,8.819,0.69636464
221,8.82045,0.7026658100000001
222,8.8219,0.71711558
223,8.82335,0.7318436500000001
224,8.8248,0.73617208
225,8.82625,0.74000186
226,8.8277,0.74144971
227,8.82915,0.75489658
228,8.8306,0.78198904
229,8.83205,0.78332984
230,8.8335,0.75834388
231,8.83495,0.75306356
232,8.8364,0.7755574
233,8.83785,0.7882030600000001
234,8.8393,0.7778252999999999
235,8.84075,0.7777347
236,8.8422,0.79307646
237,8.84365,0.79639268
238,8.8451,0.78661537
239,8.84655,0.77892882
240,8.848,0.77322817
241,8.849450000000001,0.75793761
242,8.8509,0.7576477500000001
243,8.85235,0.78114861
244,8.8538,0.79103053
245,8.85525,0.78972447
246,8.8567,0.79150158
247,8.85815,0.79179728
248,8.8596,0.7959173900000001
249,8.86105,0.80826664
250,8.8625,0.81916285
251,8.86395,0.81157315
252,8.8654,0.7885552
253,8.86685,0.7830984
254,8.8683,0.80058563
255,8.86975,0.80508554
256,8.8712,0.78644985
257,8.87265,0.78164417
258,8.8741,0.80291307
259,8.87555,0.81683844
260,8.877,0.81622726
261,8.87845,0.80241621
262,8.8799,0.77272534
263,8.88135,0.76143444
264,8.8828,0.77512395
265,8.88425,0.7856970400000001
266,8.8857,0.79399961
267,8.88715,0.79799569
268,8.8886,0.7958030700000001
269,8.89005,0.79518533
270,8.8915,0.7984752700000001
271,8.89295,0.7915450900000001
272,8.894400000000001,0.77355862
273,8.89585,0.75085777
274,8.8973,0.71720046
275,8.89875,0.7214212999999999
276,8.9002,0.76716298
277,8.90165,0.79488498
278,8.9031,0.80171251
279,8.90455,0.80149823
280,8.906,0.79034626
281,8.90745,0.75328398
282,8.9089,0.7182949200000001
283,8.91035,0.72155434
284,8.9118,0.71969807
285,8.91325,0.67239094
286,8.9147,0.55372119
287,8.91615,0.34289816
288,8.9176,0.12921788
289,8.91905,0.0379103
290,8.9205,0.045462840000000004
291,8.92195,0.12722251
292,8.9234,0.33146051
293,8.92485,0.55573118
294,8.9263,0.68073356
295,8.92775,0.73617142
296,8.9292,0.76615328
297,8.93065,0.7763989
298,8.9321,0.76892436
299,8.93355,0.7603846200000001
300,8.935,0.75625199
301,8.93645,0.74996197
302,8.9379,0.75949287
303,8.939350000000001,0.7773544800000001
304,8.9408,0.7828618900000001
305,8.94225,0.78099567
306,8.9437,0.76531035
307,8.94515,0.7099455
308,8.9466,0.60741216
309,8.94805,0.58389622
310,8.9495,0.69251096
311,8.95095,0.76519948
312,8.9524,0.7624416900000001
313,8.95385,0.76474702
314,8.9553,0.77804649
315,8.95675,0.79316413
316,8.9582,0.8021616300000001
317,8.95965,0.8072899
318,8.9611,0.81581444
319,8.96255,0.81929666
320,8.964,0.80487347
321,8.96545,0.77627808
322,8.9669,0.7684098500000001
323,8.968350000000001,0.78750765
324,8.9698,0.78732717
325,8.97125,0.76968509
326,8.9727,0.77802891
